bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
127,0.4375,0.4500000000000002,[2.23366769162633236743055640123213807678359449 +/- 5.25e-45],2.2336676916263323,True,1157,50,243,311,25,21,[188.185439582194499475343398193 +/- 3.54e-28]
128,0.4500000000000002,0.46250000000000013,[2.22285136645515641631668716030780516356862226 +/- 3.06e-45],2.2228513664551564,True,1149,50,229,321,25,21,[186.238094817370643656778546443 +/- 9.48e-29]
129,0.46250000000000013,0.4750000000000001,[2.212275328267270213249348102923079909279366521 +/- 7.90e-46],2.2122753282672702,True,1169,50,230,330,25,21,[183.390268741751350216814862705 +/- 4.84e-28]
130,0.4750000000000001,0.48750000000000004,[2.201936974661424145990656026996942828717644790 +/- 7.84e-46],2.2019369746614244,True,1187,50,230,339,25,21,[182.410989905531175871402915465 +/- 3.42e-28]
131,0.48750000000000004,0.5,[2.191833880944536894456304047997437679960730590 +/- 6.83e-46],2.191833880944537,True,1195,50,231,342,25,21,[180.745933024563352540125554403 +/- 1.92e-28]
132,0.5,0.5125000000000002,[2.181961908267894766083398619462437074598461782 +/- 9.42e-46],2.181961908267895,True,1189,50,229,341,25,21,[179.775648230880241399564067376 +/- 2.22e-28]
133,0.5125000000000002,0.5250000000000001,[2.172314596041233143146316251935631972130624362 +/- 7.44e-46],2.1723145960412333,True,1199,50,225,350,25,21,[178.389995308439751161799831846 +/- 1.52e-28]
134,0.5250000000000001,0.5375000000000001,[2.162892888415575876354154676981384807673167924 +/- 7.22e-46],2.162892888415576,True,1217,50,227,357,25,21,[177.488046842220991363853697898 +/- 4.14e-28]
135,0.5375000000000001,0.55,[2.153686936187252611072167481322853158160978109 +/- 8.85e-46],2.1536869361872526,True,1213,50,226,356,25,21,[177.189384625049586124413229178 +/- 4.14e-28]
136,0.55,0.5625,[2.144695616250494398615946135604573320249793871 +/- 6.12e-46],2.144695616250494,True,1235,50,226,367,25,21,[175.832650669604765912337675602 +/- 4.96e-28]
137,0.5625,0.5750000000000002,[2.135914269235857563193638420530727382022833687 +/- 6.12e-46],2.1359142692358577,True,1243,50,230,367,25,21,[175.106203888299664775295235906 +/- 1.40e-29]
138,0.5750000000000002,0.5875000000000001,[2.127338691228164244062207219525589027386397275 +/- 8.88e-46],2.1273386912281644,True,1237,50,226,368,25,21,[174.970457802611546005597423519 +/- 2.51e-28]
139,0.5875000000000001,0.6000000000000001,[2.11896464697341009053553421635098860817258919 +/- 3.02e-45],2.11896464697341,True,1263,50,227,380,25,21,[174.506628113022057132283723438 +/- 2.65e-28]
140,0.6000000000000001,0.6125,[2.110787926074003790282703631229118992040988667 +/- 8.13e-46],2.110787926074004,True,1267,50,229,380,25,21,[174.363620401399280178837361336 +/- 3.80e-28]
141,0.6125,0.625,[2.102804570636407635645124651196622916874057105 +/- 6.98e-46],2.102804570636408,True,1269,50,227,383,25,21,[174.814713374382042377651178939 +/- 8.27e-29]
142,0.625,0.6375000000000002,[2.095010398651041745541307715536260404842675990 +/- 5.70e-46],2.0950103986510418,True,1281,50,227,389,25,21,[175.009193689704078579733470665 +/- 3.63e-28]
143,0.6375000000000002,0.6500000000000001,[2.08740133189934567630910898027180868541919574 +/- 4.93e-45],2.0874013318993456,True,1305,50,224,404,25,21,[175.055667517563596125317561181 +/- 9.51e-29]
144,0.6500000000000001,0.6625000000000001,[2.07997304347009930325911820425202093480829329 +/- 4.01e-45],2.0799730434700994,True,1309,50,230,400,25,22,[175.253136295424154131702971823 +/- 3.31e-28]
145,0.6625000000000001,0.675,[2.072720517955097364715435433796199173514110927 +/- 7.18e-46],2.0727205179550974,True,1319,50,232,403,25,22,[176.331453785446268985826331633 +/- 3.71e-29]
